feature_type,feature_id,feature_name,part_id,point_order,point_kind,longitude,latitude
sidewalk,sidewalk_165,,sidewalk_165,1,intersection,-97.06968369658385,36.12124855335567
sidewalk,sidewalk_165,,sidewalk_165,2,intersection,-97.06954496295941,36.1211670514639
sidewalk,sidewalk_165,,sidewalk_165,3,intersection,-97.06948820829489,36.12105498622456
sidewalk,sidewalk_165,,sidewalk_165,4,intersection,-97.06967739051002,36.12097857801512
sidewalk,sidewalk_165,,sidewalk_165,5,intersection,-97.06982873628212,36.12099385966295
sidewalk,sidewalk_165,,sidewalk_165,6,intersection,-97.06988549094667,36.12112120661259
sidewalk,sidewalk_165,,sidewalk_165,7,intersection,-97.06981612413445,36.12124345948992
sidewalk,sidewalk_165,,sidewalk_165,8,intersection,-97.06969630873154,36.12124855335567
sidewalk,sidewalk_166,,sidewalk_166,0,intersection,-97.0695260447379,36.12117214533461
sidewalk,sidewalk_166,,sidewalk_166,1,intersection,-97.06933252545643,36.12116206020638
sidewalk,sidewalk_167,,sidewalk_167,0,intersection,-97.06987745141225,36.12116711970098
sidewalk,sidewalk_167,,sidewalk_167,1,intersection,-97.06997793537357,36.121172192709956
sidewalk,sidewalk_167,,sidewalk_167,2,intersection,-97.06996537487841,36.1210859515127
sidewalk,sidewalk_167,,sidewalk_167,3,intersection,-97.0698598016007,36.1210859515127
sidewalk,sidewalk_168,,sidewalk_168,0,intersection,-97.06997158507119,36.12113109933401
sidewalk,sidewalk_168,,sidewalk_168,1,intersection,-97.07012062969851,36.12115116502404
sidewalk,sidewalk_169,,sidewalk_169,0,intersection,-97.0701082093129,36.12155247774763
sidewalk,sidewalk_169,,sidewalk_169,1,intersection,-97.07012062969851,36.119816785468366
sidewalk,sidewalk_170,,sidewalk_170,0,intersection,-97.06934435559789,36.120654537688594
sidewalk,sidewalk_170,,sidewalk_170,1,intersection,-97.06933191990929,36.119850912086854
sidewalk,sidewalk_170,,sidewalk_170,2,intersection,-97.06940036301343,36.11984085983879
